ID	a2	a3	a8	a14	a15	a1	a4	a5	a6	a7	a9	a10	a11	a12	a13
360	34.42	1.335	0.125	440	4500	b	u	g	i	bb	f	f	0	t	g
361	33.58	0.25	4.0	420	0	b	u	g	i	bb	f	f	0	t	s
362	43.17	5.0	2.25	141	0	b	u	g	i	bb	f	f	0	t	g
363	22.67	7.0	0.165	160	0	a	u	g	c	v	f	f	0	f	g
364	24.33	2.5	4.5	200	456	a	y	p	i	bb	f	f	0	f	g
365	56.83	4.25	5.0	0	4	a	y	p	ff	ff	f	f	0	t	g
366	22.08	11.46	1.585	100	1212	b	u	g	k	v	f	f	0	t	g
367	34.0	5.5	1.5	60	0	b	y	p	c	v	f	f	0	t	g
368	22.58	1.5	0.54	120	67	b	y	p	aa	v	f	f	0	t	g
369	21.17	0.0	0.5	0	0	b	u	g	c	v	f	f	0	t	s
370	26.67	14.585	0.0	178	0	b	u	g	i	bb	f	f	0	t	g
371	22.92	0.17	0.085	0	0	b	u	g	m	v	f	f	0	f	s
372	15.17	7.0	1.0	600	0	b	u	g	e	v	f	f	0	f	g
373	39.92	5.0	0.21	550	0	b	u	g	i	bb	f	f	0	f	g
374	27.42	12.5	0.25	720	0	b	u	g	aa	bb	f	f	0	t	g
375	24.75	0.54	1.0	120	1	b	u	g	m	v	f	f	0	t	g
376	41.17	1.25	0.25	0	195	b	y	p	w	v	f	f	0	f	g
377	33.08	1.625	0.54	0	0	a	u	g	d	v	f	f	0	t	g
378	29.83	2.04	0.04	128	1	b	y	p	x	h	f	f	0	f	g
379	23.58	0.585	0.125	120	87	a	y	p	ff	ff	f	f	0	f	g
380	26.17	12.5	1.25	0	17	b	y	p	k	h	f	f	0	t	g
381	31.0	2.085	0.085	300	0	b	u	g	c	v	f	f	0	f	g
382	20.75	5.085	0.29	140	184	b	y	p	j	v	f	f	0	f	g
383	28.92	0.375	0.29	220	140	b	u	g	c	v	f	f	0	f	g
384	51.92	6.5	3.085	73	0	a	u	g	i	bb	f	f	0	t	g
385	22.67	0.335	0.75	160	0	a	u	g	q	v	f	f	0	f	s
386	34.0	5.085	1.085	480	0	b	y	p	i	bb	f	f	0	t	g
387	69.5	6.0	0.0	0	0	a	u	g	ff	ff	f	f	0	f	s
388	19.58	0.665	1.0	2000	2	a	y	p	c	v	f	t	1	f	g
389	16.0	3.125	0.085	0	6	b	u	g	w	v	f	t	1	f	g
390	17.08	0.25	0.335	160	8	b	u	g	q	v	f	t	4	f	g
391	31.25	2.835	0.0	176	146	b	u	g	ff	ff	f	t	5	f	g
392	25.17	3.0	1.25	0	22	b	u	g	c	v	f	t	1	f	g
393	22.67	0.79	0.085	144	0	a	u	g	i	v	f	f	0	f	g
394	40.58	1.5	0.0	300	0	b	u	g	i	bb	f	f	0	f	s
395	22.25	0.46	0.125	280	55	b	u	g	k	v	f	f	0	t	g
396	22.25	1.25	3.25	280	0	a	y	p	ff	ff	f	f	0	f	g
397	22.5	0.125	0.125	200	70	b	y	p	k	v	f	f	0	f	g
398	23.58	1.79	0.54	136	1	b	u	g	c	v	f	f	0	t	g
399	38.42	0.705	0.375	225	500	b	u	g	c	v	f	t	2	f	g
400	26.58	2.54	0.0	180	60	a	y	p	ff	ff	f	f	0	t	g
401	35.0	2.5	1.0	210	0	b	u	g	i	v	f	f	0	t	g
402	20.42	1.085	1.5	108	7	b	u	g	q	v	f	f	0	f	g
403	29.42	1.25	1.75	200	0	b	u	g	w	v	f	f	0	f	g
404	26.17	0.835	1.165	100	0	b	u	g	cc	v	f	f	0	f	g
405	33.67	2.165	1.5	120	0	b	u	g	c	v	f	f	0	f	p
406	24.58	1.25	0.25	110	0	b	u	g	c	v	f	f	0	f	g
407	27.67	2.04	0.25	180	50	a	u	g	w	v	f	f	0	t	g
408	37.5	0.835	0.04	120	5	b	u	g	e	v	f	f	0	f	g
409	49.17	2.29	0.29	200	3	b	u	g	ff	ff	f	f	0	f	g
410	33.58	0.335	0.085	180	0	b	y	p	cc	v	f	f	0	f	g
411	51.83	3.0	1.5	180	4	b	y	p	ff	ff	f	f	0	f	g
412	22.92	3.165	0.165	160	1058	b	y	p	c	v	f	f	0	f	g
413	21.83	1.54	0.085	356	0	b	u	g	k	v	f	f	0	t	g
414	25.25	1.0	0.5	200	0	b	u	g	aa	v	f	f	0	f	g
415	58.58	2.71	2.415	320	0	b	u	g	c	v	f	f	0	t	g
416	19.0	0.0	0.0	45	1	b	y	p	ff	ff	f	t	4	f	g
417	19.58	0.585	0.0	350	769	b	u	g	ff	ff	f	t	3	f	g
418	53.33	0.165	0.0	62	27	a	u	g	ff	ff	f	f	0	t	s
419	27.17	1.25	0.0	92	300	a	u	g	ff	ff	f	t	1	f	g
420	25.92	0.875	0.375	174	3	b	u	g	k	v	f	t	2	t	g
421	23.08	0.0	1.0	0	0	b	u	g	k	v	f	t	11	f	s
422	39.58	5.0	0.0	17	1	b	u	g	ff	ff	f	t	2	f	g
423	30.58	2.71	0.125	80	0	b	y	p	m	v	f	f	0	t	s
424	17.25	3.0	0.04	160	40	b	u	g	k	v	f	f	0	t	g
425	17.67	0.0	0.0	86	0	a	y	p	j	ff	f	f	0	f	g
426	16.5	0.125	0.165	132	0	b	u	g	c	v	f	f	0	f	g
427	27.33	1.665	0.0	340	1	a	u	g	ff	ff	f	f	0	f	g
428	31.25	1.125	0.0	96	19	b	u	g	ff	ff	f	t	1	f	g
429	20.0	7.0	0.5	0	0	b	u	g	c	v	f	f	0	f	g
430	39.5	1.625	1.5	0	316	b	u	g	c	v	f	f	0	f	g
431	36.5	4.25	3.5	454	50	b	u	g	q	v	f	f	0	f	g
432	52.42	1.5	3.75	0	350	b	u	g	d	v	f	f	0	t	g
433	36.17	18.125	0.085	320	3552	b	u	g	w	v	f	f	0	f	g
434	29.67	0.75	0.04	240	0	b	y	p	c	v	f	f	0	f	g
435	36.17	5.5	5.0	210	687	b	u	g	i	bb	f	f	0	f	g
436	25.67	0.29	1.5	160	0	b	y	p	c	v	f	f	0	t	g
437	24.5	2.415	0.0	120	0	a	y	p	c	v	f	f	0	f	g
438	24.08	0.875	0.085	254	1950	b	u	g	m	v	f	t	4	f	g
439	21.92	0.5	0.125	360	0	b	u	g	c	v	f	f	0	f	g
440	36.58	0.29	0.0	200	18	a	u	g	ff	ff	f	t	10	f	g
441	23.0	1.835	0.0	200	53	a	u	g	j	j	f	t	1	f	g
442	27.58	3.0	2.79	280	10	a	u	g	m	v	f	t	1	t	g
443	31.08	3.085	2.5	160	41	b	u	g	c	v	f	t	2	t	g
444	30.42	1.375	0.04	0	33	a	u	g	w	h	f	t	3	f	g
445	22.08	2.335	0.75	180	0	b	u	g	k	v	f	f	0	f	g
446	16.33	4.085	0.415	120	0	b	u	g	i	h	f	f	0	t	g
447	21.92	11.665	0.085	320	5	a	u	g	k	h	f	f	0	f	g
448	21.08	4.125	0.04	140	100	b	y	p	i	h	f	f	0	f	g
449	17.42	6.5	0.125	60	100	b	u	g	i	v	f	f	0	f	g
450	19.17	4.0	1.0	360	1000	b	y	p	i	v	f	f	0	t	g
451	20.67	0.415	0.125	0	44	b	u	g	c	v	f	f	0	f	g
452	26.75	2.0	0.75	80	0	b	u	g	d	v	f	f	0	t	g
453	23.58	0.835	0.085	220	5	b	u	g	i	h	f	f	0	t	g
454	39.17	2.5	10.0	200	0	b	y	p	i	h	f	f	0	t	s
455	22.75	11.5	0.415	0	0	b	u	g	i	v	f	f	0	f	g
456	16.92	0.5	0.165	240	35	a	u	g	i	v	f	t	6	t	g
457	23.5	3.165	0.415	280	80	b	y	p	k	v	f	t	1	t	g
458	17.33	9.5	1.75	0	10	a	u	g	aa	v	f	t	10	t	g
459	23.75	0.415	0.04	128	6	b	y	p	c	v	f	t	2	f	g
460	34.67	1.08	1.165	28	0	b	u	g	m	v	f	f	0	f	s
461	74.83	19.0	0.04	0	351	b	y	p	ff	ff	f	t	2	f	g
462	28.17	0.125	0.085	216	2100	b	y	p	k	v	f	f	0	f	g
463	24.5	13.335	0.04	120	475	b	y	p	aa	v	f	f	0	t	g
464	18.83	3.54	0.0	180	1	b	y	p	ff	ff	f	f	0	t	g
465	47.25	0.75	2.75	333	892	a	u	g	q	h	t	t	1	f	g
466	24.17	0.875	4.625	520	2000	b	u	g	q	v	t	t	2	t	g
467	39.25	9.5	6.5	240	4607	b	u	g	m	v	t	t	14	f	g
468	20.5	11.835	6.0	340	0	a	u	g	c	h	t	f	0	f	g
469	18.83	4.415	3.0	240	0	a	y	p	c	h	t	f	0	f	g
470	19.17	9.5	1.5	120	2206	b	u	g	w	v	t	f	0	f	g
471	25.0	0.875	1.04	160	5860	a	u	g	x	h	t	f	0	t	g
472	20.17	9.25	1.665	40	28	b	u	g	c	v	t	t	3	t	g
473	25.75	0.5	1.46	312	0	b	u	g	c	v	t	t	5	t	g
474	20.42	7.0	1.625	200	1391	b	u	g	c	v	t	t	3	f	g
475	39.0	5.0	3.5	0	0	b	u	g	cc	v	t	t	10	t	g
476	64.08	0.165	0.0	232	100	a	u	g	ff	ff	t	t	1	f	g
477	28.25	5.125	4.75	420	7	b	u	g	x	v	t	t	2	f	g
478	28.75	3.75	1.085	371	0	a	u	g	c	v	t	t	1	t	g
479	31.33	19.5	7.0	0	5000	b	u	g	c	v	t	t	16	f	g
480	18.92	9.0	0.75	88	591	a	u	g	aa	v	t	t	2	f	g
481	24.75	3.0	1.835	0	500	a	u	g	q	h	t	t	19	f	g
482	30.67	12.0	2.0	220	19	a	u	g	c	v	t	t	1	f	g
483	21.0	4.79	2.25	80	300	b	y	p	w	v	t	t	1	t	g
484	13.75	4.0	1.75	120	1000	b	y	p	w	v	t	t	2	t	g
485	46.0	4.0	0.0	100	960	a	u	g	j	j	t	f	0	f	g
486	44.33	0.0	2.5	0	0	a	u	g	c	v	t	f	0	f	g
487	20.25	9.96	0.0	0	0	b	u	g	e	dd	t	f	0	f	g
488	22.67	2.54	2.585	0	0	b	y	p	c	h	t	f	0	f	g
489	60.92	5.0	4.0	0	99	a	u	g	aa	v	t	t	4	f	g
490	16.08	0.75	1.75	352	690	b	u	g	c	v	t	t	5	t	g
491	28.17	0.375	0.585	80	0	a	u	g	q	v	t	t	4	f	g
492	39.17	1.71	0.125	480	0	b	u	g	x	v	t	t	5	t	g
493	30.0	5.29	2.25	99	500	a	u	g	e	dd	t	t	5	t	g
494	22.83	3.0	1.29	260	800	b	u	g	m	v	t	t	1	f	g
495	22.5	8.5	1.75	80	990	a	u	g	q	v	t	t	10	f	g
496	28.58	1.665	2.415	440	0	a	u	g	q	v	t	f	0	t	g
497	45.17	1.5	2.5	140	0	b	u	g	c	v	t	f	0	t	g
498	41.58	1.75	0.21	160	0	b	u	g	k	v	t	f	0	f	g
499	57.08	0.335	1.0	252	2197	a	u	g	i	bb	t	f	0	t	g
500	55.75	7.08	6.75	100	50	a	u	g	k	h	t	t	3	t	g
501	43.25	25.21	0.21	760	90	b	u	g	q	h	t	t	1	f	g
502	25.33	2.085	2.75	360	1	a	u	g	c	h	t	f	0	t	g
503	24.58	0.67	1.75	400	0	a	u	g	aa	h	t	f	0	f	g
504	43.17	2.25	0.75	560	0	b	u	g	i	bb	t	f	0	f	g
505	40.92	0.835	0.0	130	1	b	u	g	ff	ff	t	f	0	f	g
506	31.83	2.5	7.5	523	0	b	u	g	aa	v	t	f	0	t	g
507	33.92	1.585	0.0	320	0	a	y	p	ff	ff	t	f	0	f	g
508	24.92	1.25	0.0	80	0	a	u	g	ff	ff	t	f	0	f	g
509	35.25	3.165	3.75	680	0	b	u	g	x	h	t	f	0	t	g
510	34.25	1.75	0.25	163	0	b	u	g	w	bb	t	f	0	t	g
511	19.42	1.5	2.0	100	20	b	y	p	cc	v	t	f	0	t	g
512	42.75	3.0	1.0	0	200	b	u	g	i	bb	t	f	0	f	g
513	19.67	10.0	0.835	140	0	b	y	p	k	h	t	f	0	t	g
514	36.33	3.79	1.165	200	0	b	u	g	w	v	t	f	0	t	g
515	30.08	1.04	0.5	132	28	b	y	p	i	bb	t	t	10	t	g
516	44.25	11.0	1.5	0	0	b	y	p	d	v	t	f	0	f	s
517	23.58	0.46	2.625	208	347	b	y	p	w	v	t	t	6	t	g
518	23.92	1.5	1.875	200	327	b	u	g	d	h	t	t	6	f	g
519	33.17	1.0	0.75	340	4071	b	u	g	x	v	t	t	7	t	g
520	48.33	12.0	16.0	110	0	b	u	g	m	v	t	f	0	f	s
521	76.75	22.29	12.75	0	109	b	u	g	e	z	t	t	1	t	g
522	51.33	10.0	0.0	0	1249	b	u	g	i	bb	t	t	11	f	g
523	34.75	15.0	5.375	0	134	b	u	g	r	n	t	t	9	t	g
524	38.58	3.335	4.0	383	1344	b	u	g	w	v	t	t	14	f	g
525	22.42	11.25	0.75	0	321	a	y	p	x	h	t	t	4	f	g
526	41.92	0.42	0.21	220	948	b	u	g	c	h	t	t	6	f	g
527	29.58	4.5	7.5	330	0	b	u	g	w	v	t	t	2	t	g
528	32.17	1.46	1.085	120	2079	a	u	g	w	v	t	t	16	f	g
529	51.42	0.04	0.04	0	3000	b	u	g	x	h	t	f	0	f	g
530	22.83	2.29	2.29	140	2384	a	u	g	q	h	t	t	7	t	g
531	25.0	12.33	3.5	400	458	a	u	g	cc	h	t	t	6	f	g
532	26.75	1.125	1.25	0	5298	b	u	g	x	h	t	f	0	f	g
533	23.33	1.5	1.415	422	200	b	u	g	c	h	t	f	0	f	g
534	24.42	12.335	1.585	120	0	b	u	g	q	h	t	f	0	t	g
535	42.17	5.04	12.75	92	0	b	u	g	q	h	t	f	0	t	g
536	20.83	3.0	0.04	100	0	a	u	g	aa	v	t	f	0	f	g
537	23.08	11.5	2.125	290	284	b	u	g	w	h	t	t	11	t	g
538	25.17	2.875	0.875	360	0	a	u	g	x	h	t	f	0	f	g
539	43.08	0.375	0.375	300	162	b	y	p	c	v	t	t	8	t	g
540	35.75	0.915	0.75	0	1583	a	u	g	aa	v	t	t	4	f	g
541	59.5	2.75	1.75	60	58	b	u	g	w	v	t	t	5	t	g
542	21.0	3.0	1.085	160	1	b	y	p	d	v	t	t	8	t	g
543	21.92	0.54	0.04	840	59	b	y	p	x	v	t	t	1	t	g
544	65.17	14.0	0.0	0	1400	a	u	g	ff	ff	t	t	11	t	g
545	20.33	10.0	1.0	50	1465	a	u	g	c	h	t	t	4	f	g
546	32.25	0.165	3.25	432	8000	b	y	p	c	h	t	t	1	t	g
547	30.17	0.5	1.75	32	540	b	u	g	c	v	t	t	11	f	g
548	25.17	6.0	1.0	0	0	b	u	g	c	v	t	t	3	f	g
549	39.17	1.625	1.5	186	4700	b	u	g	c	v	t	t	10	f	g
550	39.08	6.0	1.29	108	1097	b	u	g	m	v	t	t	5	t	g
551	31.67	0.83	1.335	303	3290	b	u	g	x	v	t	t	8	t	g
552	41.0	0.04	0.04	560	0	b	u	g	e	v	f	t	1	f	s
553	48.5	4.25	0.125	225	0	b	u	g	m	v	t	f	0	t	g
554	32.67	9.0	5.25	154	0	b	y	p	w	h	t	f	0	t	g
555	28.08	15.0	0.0	0	13212	a	y	p	e	z	t	f	0	f	g
556	73.42	17.75	0.0	0	0	b	u	g	ff	ff	t	f	0	t	g
557	64.08	20.0	17.5	0	1000	b	u	g	x	h	t	t	9	t	g
558	51.58	15.0	8.5	0	0	b	u	g	c	v	t	t	9	f	g
559	26.67	1.75	1.0	160	5777	b	y	p	c	v	t	t	5	t	g
560	25.33	0.58	0.29	96	5124	b	u	g	c	v	t	t	7	t	g
561	30.17	6.5	3.125	330	1200	b	u	g	cc	v	t	t	8	f	g
562	27.0	0.75	4.25	312	150	b	u	g	c	h	t	t	3	t	g
563	34.17	5.25	0.085	290	6	b	u	g	w	v	f	f	0	t	g
564	38.67	0.21	0.085	280	0	b	u	g	k	v	t	f	0	t	g
565	25.75	0.75	0.25	349	23	b	u	g	c	bb	t	f	0	f	g
566	46.08	3.0	2.375	396	4159	a	u	g	c	v	t	t	8	t	g
567	21.5	6.0	2.5	80	918	a	u	g	aa	v	t	t	3	f	g
568	20.5	2.415	2.0	200	3000	b	u	g	c	v	t	t	11	t	g
569	29.5	0.46	0.54	380	500	a	u	g	k	v	t	t	4	f	g
570	29.83	1.25	0.25	224	0	b	y	p	k	v	f	f	0	f	g
571	20.08	0.25	0.125	200	0	b	u	g	q	v	f	f	0	f	g
572	23.42	0.585	0.085	180	0	b	u	g	c	h	t	f	0	f	g
573	29.58	1.75	1.25	280	0	a	y	p	k	v	f	f	0	t	g
574	16.17	0.04	0.04	0	0	b	u	g	c	v	f	f	0	f	g
575	32.33	3.5	0.5	232	0	b	u	g	k	v	f	f	0	t	g
576	47.83	4.165	0.085	520	0	b	u	g	x	bb	f	f	0	t	g
577	20.0	1.25	0.125	140	4	b	y	p	k	v	f	f	0	f	g
578	27.58	3.25	5.085	369	1	b	y	p	q	h	f	t	2	t	g
579	22.0	0.79	0.29	420	283	b	u	g	w	v	f	t	1	f	g
580	19.33	10.915	0.585	200	7	b	u	g	c	bb	f	t	2	t	g
581	38.33	4.415	0.125	160	0	a	u	g	c	v	f	f	0	f	g
582	29.42	1.25	0.25	400	108	b	u	g	c	h	f	t	2	t	g
583	22.67	0.75	1.585	400	9	b	u	g	i	v	f	t	1	t	g
584	32.25	14.0	0.0	160	1	b	y	p	ff	ff	f	t	2	f	g
585	29.58	4.75	2.0	460	68	b	u	g	m	v	f	t	1	t	g
586	18.42	10.415	0.125	120	375	b	y	p	aa	v	t	f	0	f	g
587	22.17	2.25	0.125	160	10	b	u	g	i	v	f	f	0	f	g
588	22.67	0.165	2.25	0	0	b	u	g	c	j	f	f	0	t	s
589	18.83	0.0	0.665	160	1	b	u	g	q	v	f	f	0	f	g
590	21.58	0.79	0.665	160	0	b	y	p	cc	v	f	f	0	f	g
591	23.75	12.0	2.085	80	0	b	u	g	c	v	f	f	0	f	s
592	36.08	2.54	0.0	0	1000	b	u	g	ff	ff	f	f	0	f	g
593	29.25	13.0	0.5	228	0	b	u	g	d	h	f	f	0	f	g
594	19.58	0.665	1.665	220	5	a	u	g	w	v	f	f	0	f	g
595	22.92	1.25	0.25	120	809	a	u	g	q	v	f	f	0	t	g
596	27.25	0.29	0.125	272	108	a	u	g	m	h	f	t	1	t	g
597	38.75	1.5	0.0	76	0	a	u	g	ff	ff	f	f	0	f	g
598	32.42	2.165	0.0	120	0	b	y	p	k	ff	f	f	0	f	g
599	23.75	0.71	0.25	240	4	a	u	g	w	v	f	t	1	t	g
600	18.17	2.46	0.96	160	587	b	u	g	c	n	f	t	2	t	g
601	40.92	0.5	0.5	130	0	b	y	p	m	v	f	f	0	t	g
602	19.5	9.585	0.79	80	350	b	u	g	aa	v	f	f	0	f	g
603	28.58	3.625	0.25	100	0	b	u	g	aa	v	f	f	0	t	g
604	35.58	0.75	1.5	231	0	b	u	g	k	v	f	f	0	t	g
605	34.17	2.75	2.5	232	200	b	u	g	i	bb	f	f	0	t	g
606	31.58	0.75	3.5	320	0	b	y	p	aa	v	f	f	0	t	g
607	52.5	7.0	3.0	0	0	a	u	g	aa	h	f	f	0	f	g
608	36.17	0.42	0.29	309	2	b	y	p	w	v	f	f	0	t	g
609	37.33	2.665	0.165	0	501	b	u	g	cc	v	f	f	0	t	g
610	20.83	8.5	0.165	0	351	a	u	g	c	v	f	f	0	f	g
611	24.08	9.0	0.25	0	0	b	u	g	aa	v	f	f	0	t	g
612	25.58	0.335	3.5	340	0	b	u	g	k	h	f	f	0	t	g
613	35.17	3.75	0.0	0	200	a	u	g	ff	ff	f	t	6	f	g
614	48.08	3.75	1.0	100	2	b	u	g	i	bb	f	f	0	f	g
615	15.83	7.625	0.125	0	160	a	u	g	q	v	f	t	1	t	g
616	22.5	0.415	0.335	144	0	a	u	g	i	v	f	f	0	t	s
617	21.5	11.5	0.5	100	68	b	u	g	i	v	t	f	0	t	g
618	23.58	0.83	0.415	200	11	a	u	g	q	v	f	t	1	t	g
619	21.08	5.0	0.0	0	0	a	y	p	ff	ff	f	f	0	f	g
620	25.67	3.25	2.29	416	21	b	u	g	c	h	f	t	1	t	g
621	38.92	1.665	0.25	0	390	a	u	g	aa	v	f	f	0	f	g
622	15.75	0.375	1.0	120	18	a	u	g	c	v	f	f	0	f	g
623	28.58	3.75	0.25	40	154	a	u	g	c	v	f	t	1	t	g
624	22.25	9.0	0.085	0	0	b	u	g	aa	v	f	f	0	f	g
625	29.83	3.5	0.165	216	0	b	u	g	c	v	f	f	0	f	g
626	23.5	1.5	0.875	160	0	a	u	g	w	v	f	f	0	t	g
627	32.08	4.0	1.5	120	0	b	y	p	cc	v	f	f	0	t	g
628	31.08	1.5	0.04	160	0	b	y	p	w	v	f	f	0	f	s
629	31.83	0.04	0.04	0	0	b	y	p	m	v	f	f	0	f	g
630	21.75	11.75	0.25	180	0	a	u	g	c	v	f	f	0	t	g
631	17.92	0.54	1.75	80	5	a	u	g	c	v	f	t	1	t	g
632	30.33	0.5	0.085	252	0	b	u	g	d	h	f	f	0	t	s
633	51.83	2.04	1.5	120	1	b	y	p	ff	ff	f	f	0	f	g
634	47.17	5.835	5.5	465	150	b	u	g	w	v	f	f	0	f	g
635	25.83	12.835	0.5	0	2	b	u	g	cc	v	f	f	0	f	g
636	50.25	0.835	0.5	240	117	a	u	g	aa	v	f	f	0	t	g
637	37.33	2.5	0.21	260	246	a	u	g	i	h	f	f	0	f	g
638	41.58	1.04	0.665	240	237	a	u	g	aa	v	f	f	0	f	g
639	30.58	10.665	0.085	129	3	a	u	g	q	h	f	t	12	t	g
640	19.42	7.25	0.04	100	1	b	u	g	m	v	f	t	1	f	g
641	17.92	10.21	0.0	0	50	a	u	g	ff	ff	f	f	0	f	g
642	20.08	1.25	0.0	0	0	a	u	g	c	v	f	f	0	f	g
643	19.5	0.29	0.29	280	364	b	u	g	k	v	f	f	0	f	g
644	27.83	1.0	3.0	176	537	b	y	p	d	h	f	f	0	f	g
645	17.08	3.29	0.335	140	2	b	u	g	i	v	f	f	0	t	g
646	36.42	0.75	0.585	240	3	b	y	p	d	v	f	f	0	f	g
647	40.58	3.29	3.5	400	0	b	u	g	m	v	f	f	0	t	s
648	21.08	10.085	1.25	260	0	b	y	p	e	h	f	f	0	f	g
649	22.67	0.75	2.0	200	394	a	u	g	c	v	f	t	2	t	g
650	25.25	13.5	2.0	200	1	a	y	p	ff	ff	f	t	1	t	g
651	17.92	0.205	0.04	280	750	b	u	g	aa	v	f	f	0	f	g
652	35.0	3.375	8.29	0	0	b	u	g	c	h	f	f	0	t	g
