ID	a1	a4	a5	a6	a7	a9	a10	a11	a12	a13
622	a	u	g	c	v	f	f	0	f	g
623	a	u	g	c	v	f	t	1	t	g
624	b	u	g	aa	v	f	f	0	f	g
625	b	u	g	c	v	f	f	0	f	g
626	a	u	g	w	v	f	f	0	t	g
627	b	y	p	cc	v	f	f	0	t	g
628	b	y	p	w	v	f	f	0	f	s
629	b	y	p	m	v	f	f	0	f	g
630	a	u	g	c	v	f	f	0	t	g
631	a	u	g	c	v	f	t	1	t	g
632	b	u	g	d	h	f	f	0	t	s
633	b	y	p	ff	ff	f	f	0	f	g
634	b	u	g	w	v	f	f	0	f	g
635	b	u	g	cc	v	f	f	0	f	g
636	a	u	g	aa	v	f	f	0	t	g
637	a	u	g	i	h	f	f	0	f	g
638	a	u	g	aa	v	f	f	0	f	g
639	a	u	g	q	h	f	t	12	t	g
640	b	u	g	m	v	f	t	1	f	g
641	a	u	g	ff	ff	f	f	0	f	g
642	a	u	g	c	v	f	f	0	f	g
643	b	u	g	k	v	f	f	0	f	g
644	b	y	p	d	h	f	f	0	f	g
645	b	u	g	i	v	f	f	0	t	g
646	b	y	p	d	v	f	f	0	f	g
647	b	u	g	m	v	f	f	0	t	s
648	b	y	p	e	h	f	f	0	f	g
649	a	u	g	c	v	f	t	2	t	g
650	a	y	p	ff	ff	f	t	1	t	g
651	b	u	g	aa	v	f	f	0	f	g
652	b	u	g	c	h	f	f	0	t	g
